Date,Time Start,Time End ,Duration,GPS_File,Purpose
1/4/2015,9:54,11:35,1:41,,EK-60 test
1/4/2015,14:19,15:53,1:33,,Survey
1/6/2015,8:46,14:05,5:18,,EK-60
1/6/2015,15:12,17:30,2:18,,EK-60
1/7/2015,14:44,15:21,0:36,,Survey
1/8/2015,9:00,12:08,3:08,,Survey
1/8/2015,13:35,17:30,3:55,,Survey
1/8/2015,20:05,21:05,1:00,,Survey - no sightings. Rendevous with ASF & DWJ
1/9/2015,8:25,13:25,5:00,,EK-60
1/9/2015,17:10,19:42,2:32,,Survey
1/10/2015,9:10,12:48,3:38,,Survey
1/10/2015,15:44,17:25,1:41,,Survey
1/11/2015,10:15,16:49,6:34,,Survey
1/12/2015,8:45,12:15,3:30,,EK-60
1/12/2015,14:05,17:25,3:20,,EK-60
1/13/2015,8:45,11:30,2:45,,EK-60
1/13/2015,12:42,17:45,5:03,,EK-60 & whale survey
1/14/2015,8:42,11:15,2:33,,Survey
1/14/2015,13:21,17:23,4:02,,Survey
1/16/2015,14:55,17:20,2:25,,Survey
1/17/2015,8:32,10:00,1:28,,Survey - no sightings (poor conditions)
1/17/2015,19:12,21:12,2:00,,Survey
1/18/2015,9:00,11:19,2:19,,Survey
1/19/2015,8:20,11:58,3:38,,Survey
1/20/2015,14:24,17:25,3:01,,EK-60
1/21/2015,8:58,13:15,4:17,,EK-60
1/21/2015,13:55,17:58,4:03,,EK-60
1/22/2015,18:36,19:59,1:23,,Survey - no sightings (poor conditions)
1/23/2015,8:28,10:53,2:25,,Survey
1/24/2015,9:10,10:30,1:20,,Survey - no sightings (poor conditions)
1/24/2015,16:20,18:10,1:50,,Survey - no sightings (moderate conditions)
1/25/2015,9:00,12:00,3:00,,Station E express box
1/25/2015,8:35,14:17,5:42,,On Hermit from 11:25 to 12:35
1/26/2015,9:19,12:34,3:15,,EK-60
1/26/2015,13:16,17:08,3:52,,EK-60
1/27/2015,11:06,14:45,3:39,,Biscoe Trip
1/28/2015,9:00,12:47,3:47,,Dream Trip
1/28/2015,13:44,16:47,3:03,,Survey
