Transect,Species,Count,Time,Date,
Adelie,WISP,2,10:48,12/25/2019,
Adelie,WISP,1,10:53,12/25/2019,
Adelie,WISP,1,10:58,12/25/2019,
Adelie,UNSK,1,10:59,12/25/2019,
Adelie,HUWH,1,11:00,12/25/2019,
Adelie,WISP,1,11:01,12/25/2019,
Adelie,UNSK,1,11:01,12/25/2019,
Adelie,WISP,1,11:02,12/25/2019,
Adelie,GEPE,1,11:03,12/25/2019,
Adelie,CHPE,2,11:03,12/25/2019,
Adelie,WISP,2,11:04,12/25/2019,
Adelie,UNTE,1,11:05,12/25/2019,
Adelie,WISP,1,11:08,12/25/2019,
Adelie,WISP,1,11:30,12/25/2019,
Adelie,WISP,1,11:40,12/25/2019,
Adelie,UNSK,1,11:49,12/25/2019,
Adelie,WISP,1,11:52,12/25/2019,
Adelie,WISP,1,12:01,12/25/2019,
Adelie,WISP,1,12:09,12/25/2019,
Adelie,WISP,1,12:14,12/25/2019,
Adelie,UNSK,1,12:15,12/25/2019,
Adelie,HUWH,1,12:21,12/25/2019,
Adelie,WISP,2,12:22,12/25/2019,
Adelie,WISP,1,12:24,12/25/2019,
Adelie,WISP,1,12:28,12/25/2019,
Adelie,UNSK,1,12:30,12/25/2019,
Adelie,WISP,1,12:32,12/25/2019,
Adelie,UNSK,1,12:35,12/25/2019,
Adelie,WISP,1,12:40,12/25/2019,
Adelie,HUWH,1,12:46,12/25/2019,
Adelie,UNPE,4,12:49,12/25/2019,
Adelie,WISP,1,12:50,12/25/2019,
Adelie,WISP,1,12:51,12/25/2019,
Adelie,WISP,1,13:05,12/25/2019,
Adelie,WISP,2,13:07,12/25/2019,
Adelie,WISP,1,13:13,12/25/2019,
Adelie,WISP,1,13:15,12/25/2019,
Adelie,WISP,1,13:17,12/25/2019,
Adelie,WISP,1,13:18,12/25/2019,
Adelie,UNSK,1,13:20,12/25/2019,
Adelie,WISP,1,13:20,12/25/2019,
Adelie,HUWH,1,13:22,12/25/2019,
Adelie,WISP,1,13:22,12/25/2019,
Adelie,UNSK,2,13:24,12/25/2019,
Adelie,WISP,1,13:26,12/25/2019,
Adelie,WISP,1,13:34,12/25/2019,
Adelie,WISP,2,13:41,12/25/2019,
Adelie,HUWH,4,13:45,12/25/2019,
Adelie,WISP,1,13:45,12/25/2019,
Adelie,UNPE,1,13:46,12/25/2019,
Adelie,HUWH,4,13:55,12/25/2019,
Adelie,WISP,1,13:55,12/25/2019,
Adelie,WISP,1,14:00,12/25/2019,
Adelie,WISP,1,14:01,12/25/2019,
Adelie,UNSK,1,14:04,12/25/2019,
Adelie,WISP,1,14:05,12/25/2019,
Adelie,UNSK,1,14:05,12/25/2019,
Adelie,GIPE,1,14:07,12/25/2019,
Adelie,WISP,1,14:10,12/25/2019,
Adelie,UNSK,1,14:19,12/25/2019,
Adelie,HUWH,1,14:21,12/25/2019,
Adelie,GIPE,1,14:21,12/25/2019,
Adelie,UNSK,1,14:24,12/25/2019,
Adelie,WISP,2,14:27,12/25/2019,
Adelie,UNSK,2,14:28,12/25/2019,
Adelie,WISP,2,14:29,12/25/2019,
Adelie,GIPE,1,14:31,12/25/2019,
Adelie,UNSK,1,14:35,12/25/2019,
Adelie,WISP,1,14:43,12/25/2019,
Adelie,UNSK,1,14:45,12/25/2019,
Adelie,WISP,1,14:50,12/25/2019,
Adelie,WISP,1,14:56,12/25/2019,
Adelie,WISP,1,14:58,12/25/2019,
Adelie,WISP,1,14:59,12/25/2019,
Adelie,HUWH,4,15:00,12/25/2019,
Adelie,WISP,2,15:02,12/25/2019,
Adelie,HUWH,1,15:05,12/25/2019,
Gentoo,WISP,1,10:55,12/31/2019,
Gentoo,WISP,1,11:04,12/31/2019,
Gentoo,HUWH,1,11:05,12/31/2019,
Gentoo,HUWH,2,11:15,12/31/2019,
Gentoo,WISP,1,11:15,12/31/2019,
Gentoo,WISP,1,11:16,12/31/2019,
Gentoo,UNPE,1,11:27,12/31/2019,
Gentoo,UNSK,1,11:31,12/31/2019,
Gentoo,HUWH,2,11:31,12/31/2019,
Gentoo,HUWH,1,11:33,12/31/2019,
Gentoo,UNSK,1,11:33,12/31/2019,
Gentoo,WISP,1,11:35,12/31/2019,
Gentoo,HUWH,1,11:38,12/31/2019,
Gentoo,KEGU,1,11:49,12/31/2019,
Gentoo,UNSK,1,11:52,12/31/2019,
Gentoo,GEPE,2,12:02,12/31/2019,
Gentoo,WISP,1,12:16,12/31/2019,
Gentoo,WISP,1,12:19,12/31/2019,
Gentoo,UNTE,2,12:20,12/31/2019,
Gentoo,WISP,1,12:21,12/31/2019,
Gentoo,UNSK,1,12:27,12/31/2019,
Gentoo,UNSK,1,12:28,12/31/2019,
Gentoo,UNPE,1,12:28,12/31/2019,
Gentoo,UNSK,1,12:28,12/31/2019,
Gentoo,GEPE,1,12:31,12/31/2019,
Gentoo,UNSK,1,12:33,12/31/2019,
Gentoo,GIPE,1,12:36,12/31/2019,
Gentoo,WISP,1,12:38,12/31/2019,
Gentoo,UNSK,1,12:39,12/31/2019,
Gentoo,WISP,1,12:40,12/31/2019,
Gentoo,UNTE,1,12:41,12/31/2019,
Gentoo,HUWH,1,12:46,12/31/2019,
Gentoo,HUWH,1,12:49,12/31/2019,
Gentoo,WISP,1,12:52,12/31/2019,
Gentoo,WISP,1,12:58,12/31/2019,
Gentoo,UNPE,2,12:58,12/31/2019,
Gentoo,ADPE,1,13:00,12/31/2019,
Gentoo,UNSK,1,13:04,12/31/2019,
Gentoo,UNSK,1,13:08,12/31/2019,
Gentoo,UNSK,1,13:16,12/31/2019,
Gentoo,UNSK,1,13:19,12/31/2019,
Gentoo,UNSK,1,13:20,12/31/2019,
Gentoo,UNSK,1,13:25,12/31/2019,
Gentoo,HUWH,2,13:26,12/31/2019,
Gentoo,UNSK,1,13:26,12/31/2019,
Gentoo,UNSK,1,13:30,12/31/2019,
Gentoo,HUWH,2,13:32,12/31/2019,
Gentoo,WISP,1,13:32,12/31/2019,
Gentoo,UNSK,1,13:34,12/31/2019,
Gentoo,HUWH,1,13:34,12/31/2019,
Gentoo,UNSK,1,13:35,12/31/2019,
Gentoo,HUWH,2,13:40,12/31/2019,
Gentoo,UNSK,1,13:45,12/31/2019,
