Transect,Species,Count,Time,Date
Adelie,WISP,1,10:41,12/22/2020
Adelie,UNTE,1,10:43,12/22/2020
Adelie,WISP,1,10:48,12/22/2020
Adelie,GIPE,1,10:55,12/22/2020
Adelie,WISP,1,11:00,12/22/2020
Adelie,WISP,1,11:06,12/22/2020
Adelie,WISP,1,11:07,12/22/2020
Adelie,WISP,1,11:08,12/22/2020
Adelie,WISP,2,11:11,12/22/2020
Adelie,WISP,1,11:12,12/22/2020
Adelie,WISP,1,11:14,12/22/2020
Adelie,GIPE,1,11:15,12/22/2020
Adelie,GEPE,1,11:19,12/22/2020
Adelie,CHPE,2,11:24,12/22/2020
Adelie,WISP,1,11:43,12/22/2020
Adelie,WISP,1,11:53,12/22/2020
Adelie,UNPE,1,11:55,12/22/2020
Adelie,GIPE,1,11:57,12/22/2020
Adelie,WISP,1,11:58,12/22/2020
Adelie,GEPE,12,12:01,12/22/2020
Adelie,WISP,1,12:02,12/22/2020
Adelie,WISP,1,12:04,12/22/2020
Adelie,WISP,1,12:17,12/22/2020
Adelie,GEPE,45,12:20,12/22/2020
Adelie,GEPE,2,12:23,12/22/2020
Adelie,WISP,2,12:26,12/22/2020
Adelie,WISP,1,12:27,12/22/2020
Adelie,WISP,1,12:28,12/22/2020
Adelie,UNTE,1,12:29,12/22/2020
Adelie,WISP,2,12:30,12/22/2020
Adelie,WISP,1,12:32,12/22/2020
Adelie,WISP,1,12:32,12/22/2020
Adelie,WISP,1,12:24,12/22/2020
Adelie,WISP,2,12:36,12/22/2020
Adelie,WISP,4,12:37,12/22/2020
Adelie,WISP,3,12:38,12/22/2020
Adelie,GEPE,4,12:40,12/22/2020
Adelie,UNSK,1,12:41,12/22/2020
Adelie,WISP,5,12:41,12/22/2020
Adelie,GIPE,1,12:42,12/22/2020
Adelie,UNSK,1,12:42,12/22/2020
Adelie,WISP,14,12:42,12/22/2020
Adelie,WISP,2,12:50,12/22/2020
Adelie,WISP,1,12:51,12/22/2020
Adelie,WISP,2,12:57,12/22/2020
Adelie,WISP,1,12:59,12/22/2020
Adelie,WISP,1,13:02,12/22/2020
Adelie,HUWH,1,13:06,12/22/2020
Adelie,GIPE,1,13:07,12/22/2020
Adelie,WISP,1,13:12,12/22/2020
Adelie,WISP,1,13:16,12/22/2020
Adelie,GIPE,1,13:29,12/22/2020
Adelie,WISP,1,13:31,12/22/2020
Adelie,WISP,1,13:35,12/22/2020
Adelie,WISP,2,13:38,12/22/2020
Adelie,WISP,1,13:42,12/22/2020
Adelie,WISP,2,13:46,12/22/2020
Adelie,WISP,1,13:49,12/22/2020
Adelie,WISP,1,13:51,12/22/2020
Adelie,WISP,1,13:53,12/22/2020
Adelie,WISP,1,13:54,12/22/2020
Adelie,WISP,1,13:56,12/22/2020
Adelie,WISP,1,13:57,12/22/2020
Adelie,GEPE,35,14:08,12/22/2020
Adelie,UNTE,1,14:12,12/22/2020
Adelie,WISP,1,14:12,12/22/2020
Adelie,UNSK,1,14:13,12/22/2020
Adelie,WISP,1,14:14,12/22/2020
Adelie,GEPE,10,14:23,12/22/2020
Adelie,WISP,3,14:29,12/22/2020
Adelie,WISP,1,14:31,12/22/2020
Adelie,UNSK,1,14:32,12/22/2020
Adelie,GEPE,3,14:33,12/22/2020
Gentoo,UNPE,10,13:09,1/15/2021
Gentoo,GEPE,8,13:23,1/15/2021
Gentoo,UNPE,6,13:53,1/15/2021
Gentoo,WISP,1,13:57,1/15/2021
Gentoo,WISP,1,13:59,1/15/2021
Gentoo,GEPE,5,14:07,1/15/2021
Gentoo,WISP,1,14:20,1/15/2021
Gentoo,GEPE,6,14:29,1/15/2021
Gentoo,UNSK,1,14:41,1/15/2021
Gentoo,GEPE,1,14:41,1/15/2021
Gentoo,GEPE,10,14:43,1/15/2021
Gentoo,UNPE,3,14:46,1/15/2021
Gentoo,GEPE,5,14:47,1/15/2021
Gentoo,UNSK,1,14:58,1/15/2021
Gentoo,GIPE,1,15:02,1/15/2021
Gentoo,WISP,1,15:22,1/15/2021
Gentoo,WISP,1,15:25,1/15/2021
Gentoo,GEPE,8,15:26,1/15/2021
Gentoo,UNSK,1,15:27,1/15/2021
Gentoo,UNPE,1,15:29,1/15/2021
Gentoo,UNPE,1,15:35,1/15/2021
Gentoo,GEPE,1,15:36,1/15/2021
Gentoo,UNSK,3,15:37,1/15/2021
Gentoo,WISP,1,15:52,1/15/2021
Gentoo,WISP,1,15:56,1/15/2021
Gentoo,WISP,1,16:03,1/15/2021
Gentoo,CHPE,1,16:04,1/15/2021
Gentoo,GEPE,2,16:15,1/15/2021
Gentoo,UNTE,2,16:15,1/15/2021
Gentoo,UNPE,2,16:22,1/15/2021
Gentoo,GEPE,15,16:23,1/15/2021
Gentoo,UNPE,12,16:25,1/15/2021
Gentoo,UNPE,1,16:29,1/15/2021
Gentoo,UNPE,6,16:30,1/15/2021
Gentoo,GEPE,8,16:36,1/15/2021
Gentoo,GIPE,1,16:37,1/15/2021
Gentoo,UNPE,10,16:39,1/15/2021
Adelie,WISP,1,11:04,1/16/2021
Adelie,UNSK,1,11:05,1/16/2021
Adelie,WISP,1,11:05,1/16/2021
Adelie,WISP,1,11:07,1/16/2021
Adelie,GEPE,1,11:08,1/16/2021
Adelie,UNPE,1,11:12,1/16/2021
Adelie,WISP,1,11:14,1/16/2021
Adelie,UNSK,1,11:33,1/16/2021
Adelie,GEPE,20,11:36,1/16/2021
Adelie,UNSK,1,11:37,1/16/2021
Adelie,GEPE,2,11:39,1/16/2021
Adelie,UNSK,1,11:39,1/16/2021
Adelie,UNSK,1,11:45,1/16/2021
Adelie,WISP,1,11:49,1/16/2021
Adelie,UNSK,1,11:51,1/16/2021
Adelie,WISP,1,11:52,1/16/2021
Adelie,WISP,1,11:55,1/16/2021
Adelie,UNSK,1,12:08,1/16/2021
Adelie,UNTE,1,12:08,1/16/2021
Adelie,WISP,1,12:14,1/16/2021
Adelie,WISP,1,12:16,1/16/2021
Adelie,WISP,1,12:18,1/16/2021
Adelie,UNSK,2,12:26,1/16/2021
Adelie,GIPE,1,12:40,1/16/2021
Adelie,WISP,1,12:41,1/16/2021
Adelie,WISP,1,12:47,1/16/2021
Adelie,GEPE,13,12:47,1/16/2021
Adelie,UNSK,1,12:53,1/16/2021
Adelie,WISP,1,12:54,1/16/2021
Adelie,WISP,2,12:55,1/16/2021
Adelie,UNSK,1,12:55,1/16/2021
Adelie,WISP,4,12:57,1/16/2021
Adelie,UNSK,1,12:58,1/16/2021
Adelie,WISP,2,12:59,1/16/2021
Adelie,UNSK,1,12:59,1/16/2021
Adelie,WISP,1,13:01,1/16/2021
Adelie,UNSK,1,13:01,1/16/2021
Adelie,WISP,1,13:03,1/16/2021
Adelie,WISP,1,13:04,1/16/2021
Adelie,UNSK,1,13:05,1/16/2021
Adelie,CHPE,1,13:06,1/16/2021
Adelie,WISP,1,13:09,1/16/2021
Adelie,GIPE,1,13:16,1/16/2021
Adelie,UNSK,1,13:23,1/16/2021
Adelie,WISP,1,13:33,1/16/2021
Adelie,WISP,1,13:39,1/16/2021
Adelie,GEPE,4,13:42,1/16/2021
Adelie,WISP,1,13:44,1/16/2021
Adelie,UNSK,1,13:48,1/16/2021
Adelie,WISP,1,13:52,1/16/2021
Adelie,GEPE,10,13:54,1/16/2021
Adelie,ADPE,1,13:55,1/16/2021
