Year,Month,Day,Hour,Longitude,Latitude,Intensity_CVU
2015,1,6,6,-75.57,-69.659,2.6664
2015,1,6,12,-76.18,-68.755,2.9945
2015,1,6,18,-76.75,-67.625,3.2822
2015,1,7,0,-75.56,-66.78,3.2307
2015,1,7,6,-74.86000000000001,-64.965,2.9102
2015,1,7,12,-73.87,-63.46,2.7048
2015,1,15,0,-76.72000000000003,-64.286,4.4259
2015,1,19,18,-77.77999999999997,-69.981,4.3102
2015,1,17,18,-78.660000000000025,-67.536,1.7661
2015,1,18,0,-73.05000000000001,-65.831,2.5146
2015,1,18,6,-68.42000000000002,-63.108,2.8324
2015,1,23,18,-69.36000000000001,-64.098,4.7565
2015,1,24,0,-64.04000000000002,-65.372,4.9272
2015,1,22,6,-61.129999999999995,-63.629,1.8031
2015,1,27,0,-77.74000000000001,-64.773,4.468
2015,1,27,6,-76.25999999999999,-66.309,4.6198
2015,1,27,12,-75.72000000000003,-67.341,4.269
2015,1,27,18,-74.38999999999999,-68.053,3.5624
2015,1,28,0,-70.57999999999998,-68.599,2.7468
2015,1,29,12,-75.589999999999975,-65.201,2.5435
2015,1,29,18,-71.49000000000001,-68.547,2.7875
2015,2,6,12,-76.55000000000001,-63.5,5.7653
2015,2,6,18,-74.94999999999999,-64.242,5.0778
2015,2,7,0,-74.160000000000025,-64.406,4.5442
2015,2,7,6,-72.839999999999975,-64.237,3.9661
2015,2,7,12,-71.75999999999999,-63.917,3.29
2015,2,7,18,-68.75999999999999,-63.544,2.9923
2015,2,8,0,-66.20999999999998,-63.395,2.5038
2015,2,9,18,-79.19999999999999,-63.313,6.1628
2015,2,10,0,-77.12,-63.685,6.2589
2015,2,10,6,-77.339999999999975,-63.876,6.295
2015,2,10,12,-77.75999999999999,-63.447,6.1529
2015,2,16,6,-78.95999999999998,-66.482,5.3531
2015,2,16,12,-78.410000000000025,-67.553,4.4071
2015,2,16,18,-79.82999999999998,-68.731,3.9225
2015,2,17,18,-78.88999999999999,-68.979,2.4398
2015,2,18,0,-74.99000000000001,-67.838,1.9
2015,2,21,6,-76.56,-64.222,5.9504
2015,2,21,12,-72.74000000000001,-64.7,5.7675
2015,2,21,18,-69.19999999999999,-64.789,5.1561
2015,2,22,0,-66.22000000000003,-64.686,4.2953
2015,2,22,6,-62.69,-64.673,3.8288
2015,2,26,0,-77.57,-64.926,2.4864
2015,3,16,12,-73.54000000000002,-63.233,8.0991
2015,3,16,18,-71.64999999999998,-64.693,6.1503
2015,3,17,0,-69.37,-66.577,4.6865
2015,3,17,6,-67.98000000000002,-68.444,3.0795
2015,3,24,12,-72.56,-65.189,5.9133
2015,3,24,18,-62.860000000000014,-67.297,7.3931
2015,4,1,0,-70.839999999999975,-63.535,2.789
2015,4,2,12,-75.86000000000001,-66.327,5.4333
2015,4,12,18,-62.45999999999998,-65.229,4.6709
2015,4,7,12,-69.56,-68.843,1.2182
2015,4,7,18,-66.94999999999999,-68.363,1.155
2015,4,15,0,-65.38999999999999,-68.135,1.3377
2015,4,15,6,-64.67000000000002,-63.59,3.6516
2015,4,23,6,-79.92000000000002,-67.554,2.1974
2015,4,23,12,-78.339999999999975,-67.021,1.9664
2015,4,23,18,-75.089999999999975,-65.726,1.7223
2015,4,24,0,-70.77999999999997,-64.665,2.0888
2015,4,24,6,-64.26999999999998,-63.415,1.8455
2016,1,3,12,-66.56,-64.532,5.5162
2016,1,3,18,-65.04000000000002,-67.015,5.7682
2016,1,4,0,-66.79000000000002,-69.142,5.8695
2016,1,10,18,-79.02999999999997,-66.039,3.5997
2016,1,7,6,-67.76999999999998,-63.061,3.7262
2016,1,16,0,-69.62,-68.3,3.487
2016,1,16,6,-69.79000000000002,-68.418,2.5553
2016,1,16,12,-68.92000000000002,-67.31,2.1119
2016,1,16,18,-66.44999999999999,-65.351,1.6061
2016,1,17,12,-74.93,-66.467,2.4308
2016,1,17,18,-68.85000000000002,-63.682,2.5307
2016,1,20,18,-69.38999999999999,-63.995,3.3279
2016,1,21,0,-68.19999999999999,-66.094,4.3023
2016,1,21,6,-65.07,-66.629,4.5003
2016,1,21,12,-61.48000000000002,-66.52,4.5799
2016,1,26,12,-79.72000000000003,-65.697,3.2943
2016,1,26,18,-74.60000000000002,-66.051,3.2431
2016,1,27,0,-73.39999999999998,-67.591,2.931
2016,1,27,6,-71.47000000000003,-69.152,2.3899
2016,1,30,12,-79.20999999999998,-66.548,4.1992
2016,1,30,18,-76.13,-67.582,3.5578
2016,1,31,0,-72.68,-67.691,3.6053
2016,1,31,6,-69.27999999999997,-68.208,2.8433
2016,1,31,12,-65.73000000000002,-68.094,2.4359
2016,1,31,18,-62.20999999999998,-67.131,2.3565
2016,2,20,6,-71.64999999999998,-63.123,3.984
2016,2,20,12,-71.45999999999998,-64.675,3.0432
2016,2,27,12,-76.57999999999998,-63.322,5.0452
2016,2,27,18,-74.55000000000001,-64.808,4.5912
2016,2,28,0,-73.37,-67.702,3.5028
2016,3,7,12,-78.54000000000002,-66.573,4.821
2016,3,7,18,-74.25,-66.633,4.4321
2016,3,8,0,-70.11000000000001,-66.267,3.4472
2016,3,20,12,-78.5,-67.709,5.2813
2016,3,20,18,-74.19999999999999,-67.982,4.6986
2016,3,21,0,-69.88,-68.353,3.9676
2016,3,21,6,-65.48000000000002,-67.894,2.838
2016,3,16,18,-66.14999999999998,-65.48,6.4937
2016,3,22,18,-68.88,-63.764,3.883
2016,3,23,0,-62.110000000000014,-65.472,2.7207
2016,3,23,6,-79.35000000000002,-63.335,4.4747
2016,3,23,12,-77.24000000000001,-65.883,4.2986
2016,3,23,18,-75.79000000000002,-68.549,3.5179
2016,3,24,6,-76.55000000000001,-63.546,3.837
2016,3,24,12,-68.410000000000025,-64.388,3.0601
2016,3,25,0,-76.27999999999997,-66.587,5.7356
2016,3,25,6,-70.63,-67.984,5.4104
2016,3,28,0,-78.63,-64.529,9.4512
2016,3,28,6,-75.42000000000002,-65.647,9.6
2016,3,28,12,-71.05000000000001,-66.265,7.9876
2016,3,28,18,-64.50999999999999,-67.356,6.3969
2016,3,26,18,-77.06,-63.803,3.7603
2016,3,27,0,-74.22000000000003,-67.706,3.9712
2016,4,11,6,-79.88999999999999,-64.394,2.147
2016,4,11,12,-72.60000000000002,-65.345,2.0305
2016,4,8,0,-64.88999999999999,-65.77,7.0491
2016,4,16,12,-71.45999999999998,-63.731,4.0188
2016,4,16,18,-71,-63.114,4.0675
2016,4,19,18,-71.80000000000001,-69.357,2.996
2016,4,20,0,-68.11000000000001,-66.426,3.4338
2016,4,20,6,-63.77999999999997,-64.832,3.0357
2016,4,20,12,-61.170000000000016,-64.322,2.8339
2016,4,20,18,-67.72000000000003,-65.537,3.4582
2016,4,21,0,-66.25999999999999,-63.481,3.7824
2016,4,26,18,-74.87,-63.475,3.8725
2016,4,27,0,-64.18,-64.238,3.5227
2017,1,2,6,-72.89999999999998,-69.524,2.5302
2017,1,2,12,-72.19999999999999,-68.594,2.7161
2017,1,2,18,-71.77999999999997,-67.48,2.5569
2017,1,3,0,-72.339999999999975,-66.288,2.5452
2017,1,4,12,-77.54000000000002,-69.797,2.5813
2017,1,4,18,-79.37,-68.001,2.831
2017,1,5,0,-79.99000000000001,-65.352,3.4634
2017,1,9,0,-74.04000000000002,-63.528,2.4276
2017,1,9,6,-71.10000000000002,-63.225,2.5519
2017,1,9,12,-69.82999999999998,-63.619,2.7621000000000002
2017,1,9,18,-70.37,-63.716,3.0072
2017,1,10,0,-70.75,-63.039,3.0945
2017,1,27,6,-77.22000000000003,-63.633,5.7161
2017,1,27,12,-76.23000000000002,-64.615,5.2613
2017,1,27,18,-74.75,-65.667,4.5828
2017,1,28,0,-74.57999999999998,-67.295,3.5759
2017,1,28,6,-75.54000000000002,-69.846,3.2275
2017,1,30,0,-79.69999999999999,-68.774,2.0639
2017,1,30,6,-76.92000000000002,-69.299,1.5378
2017,2,12,18,-70.82,-66.721,1.5424
2017,2,13,0,-66.910000000000025,-69.394,1.1009
2017,2,4,18,-66.13999999999999,-65.147,1.2542
2017,2,5,0,-62.52999999999997,-63.18,1.4968
2017,2,16,18,-68.00999999999999,-63.14,3.6198
2017,2,17,0,-64.05000000000001,-63.694,2.5561
2017,2,17,6,-61.69999999999999,-63.588,1.0192
2017,2,24,12,-79.93,-69.582,4.5565
2017,2,24,18,-73.02999999999997,-69.622,3.4519
2017,2,25,0,-64.32,-69.105,3.0662
2017,3,17,12,-67.47000000000003,-64.197,1.7098
2017,3,22,12,-77.25,-68.275,2.631
2017,3,22,18,-70.22000000000003,-67.862,2.0929
2017,3,21,0,-64.76999999999998,-66.751,2.1041
2017,3,24,18,-77.27999999999997,-64.424,2.3556
2017,3,25,0,-70.410000000000025,-64.667,2.7167
2017,3,25,6,-64.29000000000002,-64.824,3.4811
2017,3,29,0,-74.55000000000001,-67.747,7.8721
2017,3,29,6,-68.49000000000001,-69.231,6.7526
2017,4,1,6,-68.77999999999997,-67.872,1.8117
2017,4,10,0,-79.93,-64.879,7.623
2017,4,10,6,-79.36000000000001,-65.616,6.7168
2017,4,10,12,-79.29000000000002,-66.115,6.3668
2017,4,10,18,-79.24000000000001,-66.156,5.9899
2017,4,11,0,-78.44999999999999,-65.909,5.467
2017,4,11,6,-76.94999999999999,-64.934,4.9613
2017,4,11,12,-74.25,-64.004,4.4332
2017,4,11,18,-70.38999999999999,-63.269,3.8482
2017,4,15,0,-77.67000000000002,-69.791,4.5165
2017,4,15,6,-68.25999999999999,-68.815,1.581
2017,4,16,6,-69.49000000000001,-69.99,4.6329
2018,1,13,6,-77.95999999999998,-65.912,1.1123
2018,1,16,6,-77.56,-63.522,2.553
2018,1,16,12,-73.73000000000002,-63.733,2.4516
2018,1,16,18,-70.74000000000001,-63.784,2.4207
2018,1,17,0,-67.910000000000025,-63.427,2.2195
2018,1,23,18,-75.82999999999998,-69.434,2.4364
2018,1,24,0,-75.339999999999975,-68.565,2.5625
2018,1,24,6,-74.38999999999999,-68.12,2.6358
2018,1,24,12,-70.95999999999998,-67.308,2.7192
2018,2,12,18,-74.47000000000003,-64.951,2.7848
2018,2,6,12,-63.670000000000016,-64.736,2.4077
2018,2,22,6,-66.27999999999997,-63.838,5.0872
2018,3,15,12,-61.22000000000003,-65.338,3.9624
2018,3,15,18,-61.839999999999975,-66.338,3.8639
2018,3,28,18,-68.86000000000001,-63.703,2.29
2018,3,29,0,-63.920000000000016,-64.807,2.6461
2018,3,25,18,-69.01999999999998,-64.737,5.5336
2018,3,26,0,-62.39999999999998,-66.794,6.0749
2018,4,16,6,-79.61000000000001,-68.853,4.553
2018,4,16,12,-77.02999999999997,-69.57,3.8049
2018,4,6,18,-77.49000000000001,-63.339,1.9458
2018,4,18,18,-72.29000000000002,-64.039,4.2154
2018,4,25,12,-67.69999999999999,-66.188,2.1325
2019,1,4,12,-74.87,-64.03,5.0493
2019,1,4,18,-71.06,-63.549,4.9546
2019,1,9,18,-76.13999999999999,-66.287,3.5978
2019,1,10,0,-71.68,-64.944,3.2945
2019,1,10,6,-68.10000000000002,-63.732,3.0179
2019,1,13,0,-76.82,-63.822,3.0275
2019,1,20,0,-79.67000000000002,-65.774,3.3206
2019,1,20,6,-79.02999999999997,-65.659,2.9026
2019,1,20,12,-77.74000000000001,-65.505,2.6395
2019,1,20,18,-75.11000000000001,-65.342,2.317
2019,1,21,0,-70.97000000000003,-65.042,1.7573
2019,1,21,6,-66.37,-65.125,1.2331
2019,2,4,18,-76.36000000000001,-68.099,3.1885
2019,2,15,0,-77.88999999999999,-65.888,3.2127
2019,2,15,6,-77.13999999999999,-66.073,2.4442
2019,2,15,12,-77.11000000000001,-65.382,1.8196
2019,2,15,18,-76.06,-65.66,1.8004
2019,2,16,0,-73.75,-65.693,1.524
2019,2,25,18,-77.32999999999998,-64.725,2.9472
2019,3,9,6,-76.42000000000002,-63.477,4.6401
2019,3,16,6,-79.76999999999998,-66.226,2.1642
2019,3,16,12,-76.45999999999998,-65.345,2.1911
2019,3,16,18,-71.88,-65.255,2.7276
2019,3,17,0,-67.44,-65.449,2.8666
2019,3,17,6,-63.27999999999997,-65.395,3.6204
2019,3,21,12,-78.85000000000002,-67.41,2.6426
2019,3,21,18,-77.75999999999999,-68.132,2.6725
2019,3,22,0,-75.60000000000002,-68.406,2.027
2019,3,22,6,-73.10000000000002,-68.816,1.4333
2019,3,4,18,-61.69999999999999,-65.772,2.1867
2019,3,11,12,-62.51999999999998,-69.812,2.1042
2019,3,11,18,-64.07999999999998,-67.856,1.373
2019,3,25,6,-78.94,-63.653,4.3894
2019,3,25,12,-73.31,-63.31,4.0784
2019,3,24,6,-73.10000000000002,-65.795,3.3915
2019,3,24,12,-70.17000000000002,-69.255,3.058
2019,3,30,18,-78.95999999999998,-64.416,4.9194
2019,3,31,0,-75.62,-64.272,4.9662
2019,3,31,6,-71.77999999999997,-63.852,4.2701
2019,3,31,12,-69.52999999999997,-63.537,3.5697
2019,3,28,18,-73.07,-65.418,4.6006
2019,3,29,0,-69.76999999999998,-67.751,4.5515
2019,3,29,6,-67.67000000000002,-69.022,3.2613
2019,4,15,0,-64.57,-63.18,7.6355
2019,4,25,0,-66.67000000000002,-63.933,3.3058
2019,4,27,18,-79.910000000000025,-69.178,5.0476
2019,4,28,0,-79.25,-69.723,4.361
2020,1,2,12,-73.18,-63.326,4.4088
2020,1,2,18,-70.25999999999999,-63.436,4.0677
