Year,Month,Day,Hour,Longitude,Latitude,Intensity_CVU,Days_since_last_storm,Length_day_storm,Event
2015,1,1,,,,0.99,,,
2015,1,2,,,,0.99,,,
2015,1,3,,,,0.99,,,
2015,1,4,,,,0.99,,,
2015,1,5,,,,0.99,,,
2015,1,6,6,-75.57,-69.659,2.6664,NA,2,15a
2015,1,6,12,-76.18,-68.755,2.9945,NA,2,15a
2015,1,6,18,-76.75,-67.625,3.2822,NA,2,15a
2015,1,7,0,-75.56,-66.78,3.2307,NA,2,15a
2015,1,7,6,-74.86,-64.965,2.9102,NA,2,15a
2015,1,7,12,-73.87,-63.46,2.7048,NA,2,15a
2015,1,8,,,,0.99,,,
2015,1,9,,,,0.99,,,
2015,1,10,,,,0.99,,,
2015,1,11,,,,0.99,,,
2015,1,12,,,,0.99,,,
2015,1,13,,,,0.99,,,
2015,1,14,,,,0.99,,,
2015,1,15,0,-76.72,-64.286,4.4259,8,1,15b
2015,1,16,,,,0.99,,,
2015,1,17,18,-78.66,-67.536,1.7661,2,3,15c
2015,1,18,0,-73.05,-65.831,2.5146,2,3,15c
2015,1,18,6,-68.42,-63.108,2.8324,2,3,15c
2015,1,19,18,-77.78,-69.981,4.3102,2,3,15c
2015,1,20,,,,0.99,,,
2015,1,21,,,,0.99,,,
2015,1,22,6,-61.13,-63.629,1.8031,3,3,15d
2015,1,23,18,-69.36,-64.098,4.7565,3,3,15d
2015,1,24,0,-64.04,-65.372,4.9272,3,3,15d
2015,1,25,,,,0.99,,,
2015,1,26,,,,0.99,,,
2015,1,27,0,-77.74,-64.773,4.468,3,3,15e
2015,1,27,6,-76.26,-66.309,4.6198,3,3,15e
2015,1,27,12,-75.72,-67.341,4.269,3,3,15e
2015,1,27,18,-74.39,-68.053,3.5624,3,3,15e
2015,1,28,0,-70.58,-68.599,2.7468,3,3,15e
2015,1,29,12,-75.59,-65.201,2.5435,3,3,15e
2015,1,29,18,-71.49,-68.547,2.7875,3,3,15e
2015,1,30,,,,0.99,,,
2015,1,31,,,,0.99,,,
2015,2,1,,,,0.99,,,
2015,2,2,,,,0.99,,,
2015,2,3,,,,0.99,,,
2015,2,4,,,,0.99,,,
2015,2,5,,,,0.99,,,
2015,2,6,12,-76.55,-63.5,5.7653,8,5,15f
2015,2,6,18,-74.95,-64.242,5.0778,8,5,15f
2015,2,7,0,-74.16,-64.406,4.5442,8,5,15f
2015,2,7,6,-72.84,-64.237,3.9661,8,5,15f
2015,2,7,12,-71.76,-63.917,3.29,8,5,15f
2015,2,7,18,-68.76,-63.544,2.9923,8,5,15f
2015,2,8,0,-66.21,-63.395,2.5038,8,5,15f
2015,2,9,18,-79.2,-63.313,6.1628,8,5,15f
2015,2,10,0,-77.12,-63.685,6.2589,8,5,15f
2015,2,10,6,-77.34,-63.876,6.295,8,5,15f
2015,2,10,12,-77.76,-63.447,6.1529,8,5,15f
2015,2,11,,,,0.99,,,
2015,2,12,,,,0.99,,,
2015,2,13,,,,0.99,,,
2015,2,14,,,,0.99,,,
2015,2,15,,,,0.99,,,
2015,2,16,6,-78.96,-66.482,5.3531,6,3,15g
2015,2,16,12,-78.41,-67.553,4.4071,6,3,15g
2015,2,16,18,-79.83,-68.731,3.9225,6,3,15g
2015,2,17,18,-78.89,-68.979,2.4398,6,3,15g
2015,2,18,0,-74.99,-67.838,1.9,6,3,15g
2015,2,19,,,,0.99,,,
2015,2,20,,,,0.99,,,
2015,2,21,6,-76.56,-64.222,5.9504,3,2,15h
2015,2,21,12,-72.74,-64.7,5.7675,3,2,15h
2015,2,21,18,-69.2,-64.789,5.1561,3,2,15h
2015,2,22,0,-66.22,-64.686,4.2953,3,2,15h
2015,2,22,6,-62.69,-64.673,3.8288,3,2,15h
2015,2,23,,,,0.99,,,
2015,2,24,,,,0.99,,,
2015,2,25,,,,0.99,,,
2015,2,26,0,-77.57,-64.926,2.4864,4,1,15i
2015,2,27,,,,0.99,,,
2015,2,28,,,,0.99,,,
2015,3,1,,,,0.99,,,
2015,3,2,,,,0.99,,,
2015,3,3,,,,0.99,,,
2015,3,4,,,,0.99,,,
2015,3,5,,,,0.99,,,
2015,3,6,,,,0.99,,,
2015,3,7,,,,0.99,,,
2015,3,8,,,,0.99,,,
2015,3,9,,,,0.99,,,
2015,3,10,,,,0.99,,,
2015,3,11,,,,0.99,,,
2015,3,12,,,,0.99,,,
2015,3,13,,,,0.99,,,
2015,3,14,,,,0.99,,,
2015,3,15,,,,0.99,,,
2015,3,16,12,-73.54,-63.233,8.0991,18,2,15j
2015,3,16,18,-71.65,-64.693,6.1503,18,2,15j
2015,3,17,0,-69.37,-66.577,4.6865,18,2,15j
2015,3,17,6,-67.98,-68.444,3.0795,18,2,15j
2015,3,18,,,,0.99,,,
2015,3,19,,,,0.99,,,
2015,3,20,,,,0.99,,,
2015,3,21,,,,0.99,,,
2015,3,22,,,,0.99,,,
2015,3,23,,,,0.99,,,
2015,3,24,12,-72.56,-65.189,5.9133,7,1,15k
2015,3,24,18,-62.86,-67.297,7.3931,7,1,15k
2015,3,25,,,,0.99,,,
2015,3,26,,,,0.99,,,
2015,3,27,,,,0.99,,,
2015,3,28,,,,0.99,,,
2015,3,29,,,,0.99,,,
2015,3,30,,,,0.99,,,
2015,3,31,,,,0.99,,,
2015,4,1,0,-70.84,-63.535,2.789,8,2,15l
2015,4,2,12,-75.86,-66.327,5.4333,8,2,15l
2015,4,3,,,,0.99,,,
2015,4,4,,,,0.99,,,
2015,4,5,,,,0.99,,,
2015,4,6,,,,0.99,,,
2015,4,7,12,-69.56,-68.843,1.2182,5,1,15m
2015,4,7,18,-66.95,-68.363,1.155,5,1,15m
2015,4,8,,,,0.99,,,
2015,4,9,,,,0.99,,,
2015,4,10,,,,0.99,,,
2015,4,11,,,,0.99,,,
2015,4,12,18,-62.46,-65.229,4.6709,5,1,15n
2015,4,13,,,,0.99,,,
2015,4,14,,,,0.99,,,
2015,4,15,0,-65.39,-68.135,1.3377,3,1,15o
2015,4,15,6,-64.67,-63.59,3.6516,3,1,15o
2015,4,16,,,,0.99,,,
2015,4,17,,,,0.99,,,
2015,4,18,,,,0.99,,,
2015,4,19,,,,0.99,,,
2015,4,20,,,,0.99,,,
