Year,Month,Day,Time.Start,Time.End,Hour,Minutes,Duration_min,Day_Duration
2015,1,4,9:54,11:35,1,41,101,194
2015,1,4,14:19,15:53,1,33,93,194
2015,1,6,8:46,14:05,5,18,318,456
2015,1,6,15:12,17:30,2,18,138,456
2015,1,7,14:44,15:21,0,36,36,36
2015,1,8,9:00,12:08,3,8,188,483
2015,1,8,13:35,17:30,3,55,235,483
2015,1,8,20:05,21:05,1,0,60,483
2015,1,9,8:25,13:25,5,0,300,452
2015,1,9,17:10,19:42,2,32,152,452
2015,1,10,9:10,12:48,3,38,218,319
2015,1,10,15:44,17:25,1,41,101,319
2015,1,11,10:15,16:49,6,34,394,394
2015,1,12,8:45,12:15,3,30,210,410
2015,1,12,14:05,17:25,3,20,200,410
2015,1,13,8:45,11:30,2,45,165,468
2015,1,13,12:42,17:45,5,3,303,468
2015,1,14,8:42,11:15,2,33,153,395
2015,1,14,13:21,17:23,4,2,242,395
2015,1,16,14:55,17:20,2,25,145,145
2015,1,17,8:32,10:00,1,28,88,208
2015,1,17,19:12,21:12,2,0,120,208
2015,1,18,9:00,11:19,2,19,139,139
2015,1,19,8:20,11:58,3,38,218,218
2015,1,20,14:24,17:25,3,1,181,181
2015,1,21,8:58,13:15,4,17,257,500
2015,1,21,13:55,17:58,4,3,243,500
2015,1,22,18:36,19:59,1,23,83,83
2015,1,23,8:28,10:53,2,25,145,145
2015,1,24,9:10,10:30,1,20,80,190
2015,1,24,16:20,18:10,1,50,110,190
2015,1,25,9:00,12:00,3,0,180,522
2015,1,25,8:35,14:17,5,42,342,522
2015,1,26,9:19,12:34,3,15,195,427
2015,1,26,13:16,17:08,3,52,232,427
2015,1,27,11:06,14:45,3,39,219,219
2015,1,28,9:00,12:47,3,47,227,410
2015,1,28,13:44,16:47,3,3,183,410
2015,1,30,8:24,13:10,4,46,286,461
2015,1,30,13:27,15:02,1,35,95,461
2015,1,30,17:00,18:20,1,20,80,461
2015,2,1,8:24,9:05,0,41,41,110
2015,2,1,16:06,17:15,1,9,69,110
2015,2,2,8:45,11:12,2,27,147,279
2015,2,2,13:15,15:27,2,12,132,279
2016,1,16,17:30,20:45,3,15,195,195
2016,1,17,14:30,17:00,2,30,150,150
2016,1,18,9:30,11:30,2,0,120,240
2016,1,18,2:30,4:30,2,0,120,240
2016,1,19,9:20,11:20,2,0,120,120
2016,1,20,8:00,12:20,4,20,260,320
2016,1,20,15:15,16:15,1,0,60,320
2016,1,22,18:15,21:00,2,45,165,165
2016,1,23,9:30,12:00,2,30,150,375
2016,1,23,13:00,16:45,3,45,225,375
2016,1,24,9:30,17:00,7,30,450,450
2016,1,25,14:00,15:25,1,25,85,145
2016,1,25,18:30,19:30,1,0,60,145
2016,1,26,10:00,11:30,1,30,90,90
2016,1,27,9:00,12:00,3,0,180,446
2016,1,27,14:30,15:49,1,19,79,446
2016,1,27,15:42,15:49,0,7,7,446
2016,1,27,18:00,21:00,3,0,180,446
2016,1,28,8:30,10:00,1,30,90,248
2016,1,28,10:00,10:58,0,58,58,248
