Julian,Julian_new,Year,Month,Day,Species,Latitude,Longitude,Group.Size,Whales_per_day,Whales_per_day_effort_correct,Whales_per_month,Whales_per_year,Trip_Duration_min,Day_Duration_min,Day_Duration_hour,Time,Year_char,MAG_Comments
1/4/2015,4,2015,1,4,Mn,-64.802965,-63.953622,2,2,0.6185567010309279,127,135,93,194,3.2333333333333334,15:05,2015,
1/6/2015,6,2015,1,6,Mn,-64.754428,-64.124528,2,2,0.2631578947368421,127,135,318,456,7.6,12:40,2015,
1/7/2015,7,2015,1,7,Mn,-64.772608,-64.062257,3,3,5,127,135,36,36,0.6,15:04,2015,
1/8/2015,8,2015,1,8,Mn,-64.81106,-64.04887,4,7,0.8695652173913043,127,135,188,483,8.05,9:46,2015,
1/8/2015,8,2015,1,8,Mn,-64.77209,-64.11517,1,7,0.8695652173913043,127,135,188,483,8.05,10:54,2015,
1/8/2015,8,2015,1,8,Mn,-64.78343,-64.13689,1,7,0.8695652173913043,127,135,188,483,8.05,10:54,2015,
1/8/2015,8,2015,1,8,Mn,-64.79211,-63.98307,1,7,0.8695652173913043,127,135,235,483,8.05,15:51,2015,
1/9/2015,9,2015,1,9,Mn,-64.81699,-64.03462,1,7,0.9292035398230089,127,135,300,452,7.533333333333333,9:30,2015,
1/9/2015,9,2015,1,9,Mn,-64.76994,-64.06525,1,7,0.9292035398230089,127,135,300,452,7.533333333333333,13:18,2015,
1/9/2015,9,2015,1,9,Mn,-64.80913,-63.98382,3,7,0.9292035398230089,127,135,152,452,7.533333333333333,17:32,2015,
1/9/2015,9,2015,1,9,Mn,-64.80544,-64.04114,2,7,0.9292035398230089,127,135,152,452,7.533333333333333,19:09,2015,
1/10/2015,10,2015,1,10,Mn,-64.79413,-64.09897,6,11,2.0689655172413794,127,135,218,319,5.316666666666666,9:30,2015,
1/10/2015,10,2015,1,10,Mn,-64.79978,-64.12309,2,11,2.0689655172413794,127,135,218,319,5.316666666666666,10:56,2015,
1/10/2015,10,2015,1,10,Mn,-64.82221,-64.01944,3,11,2.0689655172413794,127,135,101,319,5.316666666666666,15:44,2015,
1/11/2015,11,2015,1,11,Mn,-64.81254,-64.03062,3,7,1.0659898477157361,127,135,394,394,6.566666666666666,10:52,2015,
1/11/2015,11,2015,1,11,Mn,-64.79262,-63.98688,2,7,1.0659898477157361,127,135,394,394,6.566666666666666,12:39,2015,
1/11/2015,11,2015,1,11,Mn,-64.78915,-63.98785,1,7,1.0659898477157361,127,135,394,394,6.566666666666666,13:12,2015,
1/11/2015,11,2015,1,11,Mn,-64.75744,-64.09077,1,7,1.0659898477157361,127,135,394,394,6.566666666666666,16:11,2015,
1/12/2015,12,2015,1,12,Mn,-64.79107,-63.984,5,5,0.7317073170731707,127,135,200,410,6.833333333333333,15:38,2015,
1/13/2015,13,2015,1,13,Mn,-64.7734,-64.1723,2,13,1.6666666666666667,127,135,165,468,7.8,9:45,2015,
1/13/2015,13,2015,1,13,Mn,-64.83412,-64.06652,4,13,1.6666666666666667,127,135,303,468,7.8,14:38,2015,
